            	N0/0	N1/0	N2/0	N3/0	N4/0	N5/0	N6/0	N7/0
        LORD	1.000	0.000	0.000	0.000	0.684	0.000	0.281	0.254
        SEER	0.000	1.000	0.000	0.000	0.316	0.328	0.132	0.120
     WARRIOR	0.000	0.000	1.000	0.000	0.000	0.320	0.000	0.499
MOTHER_EARTH	0.000	0.000	0.000	1.000	0.000	0.352	0.588	0.127
    MOUNTAIN	1.000	0.205	0.202	0.000	1.000	0.328	0.281	0.498
         SEA	0.413	0.297	0.507	0.210	0.316	1.000	0.293	0.637
      FOREST	0.713	0.093	0.099	0.814	0.345	0.352	1.000	0.382
      VALLEY	0.000	0.723	0.710	0.520	0.316	0.680	0.449	0.621
       EAGLE	0.616	0.418	0.313	0.202	0.684	0.352	0.000	0.630
       HORSE	0.307	0.518	0.415	0.386	0.000	0.000	0.140	0.380
        BULL	0.706	0.204	0.698	0.514	0.339	0.672	0.302	0.755
         DOE	0.713	0.296	0.292	0.607	0.684	0.352	1.000	0.257
       WHITE	0.412	0.408	0.497	0.500	1.000	0.328	0.435	0.000
       BLACK	0.514	0.518	0.804	0.797	0.000	0.320	0.860	1.000
        BLUE	0.600	0.301	0.191	0.609	0.661	1.000	0.582	0.251
         RED	0.807	0.295	0.605	0.411	0.339	0.000	0.440	1.000


LABEL	GROUP	LORD	SEER	WARRIOR	MOTHER_	MOUNTAI	SEA	FOREST	VALLEY	EAGLE	HORSE	BULL	DOE	WHITE	BLACK	BLUE	RED	RES_0	RES_1	RES_2	RES_3	RES_4	RES_5	RES_6	RES_7
2.000	PRO_1	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.000	0.447	0.447	0.447	0.000	0.586	0.715	0.643	0.648	0.619	0.645	0.635	0.619
2.000	PRO_1	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.447	0.447	0.447	0.447	0.447	0.447	0.000	0.000	0.650	0.747	0.698	0.683	0.669	0.664	0.670	0.684
2.000	PRO_1	0.000	0.447	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.635	0.698	0.644	0.603	0.637	0.611	0.613	0.688
2.000	PRO_5	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.613	0.685	0.616	0.599	0.682	0.696	0.614	0.607
2.000	PRO_6	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.000	0.591	0.624	0.567	0.618	0.570	0.576	0.655	0.589
2.000	PRO_1	0.000	0.447	0.000	0.000	0.000	0.447	0.000	0.447	0.447	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.586	0.715	0.650	0.613	0.585	0.647	0.599	0.667
2.000	PRO_1	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.552	0.662	0.596	0.571	0.551	0.557	0.562	0.607
2.000	PRO_1	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.000	0.000	0.000	0.000	0.000	0.543	0.669	0.580	0.560	0.569	0.576	0.538	0.589
2.000	PRO_1	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.447	0.447	0.000	0.000	0.447	0.447	0.630	0.635	0.599	0.614	0.621	0.630	0.628	0.620
2.000	PRO_1	0.000	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.539	0.611	0.556	0.539	0.585	0.592	0.546	0.539
3.000	PRO_2	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.447	0.000	0.000	0.447	0.622	0.625	0.702	0.635	0.638	0.630	0.637	0.655
3.000	PRO_2	0.000	0.000	0.447	0.000	0.447	0.447	0.000	0.447	0.447	0.447	0.000	0.000	0.447	0.447	0.000	0.000	0.649	0.694	0.731	0.638	0.668	0.679	0.628	0.705
3.000	PRO_2	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.447	0.447	0.000	0.447	0.447	0.617	0.631	0.677	0.640	0.653	0.647	0.651	0.631
3.000	PRO_2	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.447	0.595	0.613	0.702	0.620	0.552	0.610	0.608	0.689
3.000	PRO_2	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.447	0.447	0.447	0.447	0.000	0.000	0.447	0.000	0.447	0.654	0.687	0.757	0.660	0.604	0.680	0.630	0.756
3.000	PRO_2	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.447	0.447	0.447	0.447	0.000	0.000	0.609	0.593	0.677	0.629	0.605	0.610	0.635	0.626
3.000	PRO_5	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.604	0.587	0.673	0.614	0.569	0.678	0.607	0.656
3.000	PRO_2	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.447	0.000	0.447	0.447	0.000	0.000	0.591	0.652	0.717	0.644	0.586	0.628	0.615	0.661
3.000	PRO_7	0.000	0.000	0.447	0.000	0.447	0.447	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.447	0.687	0.605	0.707	0.645	0.621	0.662	0.663	0.727
3.000	PRO_2	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.447	0.447	0.447	0.000	0.000	0.000	0.447	0.000	0.447	0.623	0.676	0.727	0.634	0.586	0.646	0.615	0.726
4.000	PRO_3	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.447	0.447	0.000	0.000	0.447	0.447	0.000	0.447	0.654	0.645	0.649	0.710	0.622	0.595	0.677	0.673
4.000	PRO_3	0.000	0.000	0.000	0.447	0.000	0.447	0.447	0.447	0.000	0.000	0.447	0.447	0.000	0.447	0.447	0.447	0.699	0.673	0.707	0.767	0.653	0.744	0.765	0.737
4.000	PRO_6	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.447	0.645	0.650	0.663	0.733	0.638	0.631	0.735	0.667
4.000	PRO_3	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.000	0.447	0.447	0.447	0.447	0.447	0.000	0.666	0.662	0.677	0.763	0.670	0.714	0.753	0.667
4.000	PRO_3	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.447	0.000	0.586	0.614	0.606	0.672	0.587	0.611	0.636	0.589
4.000	PRO_3	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.447	0.447	0.000	0.000	0.000	0.447	0.447	0.644	0.638	0.648	0.716	0.604	0.666	0.679	0.673
4.000	PRO_3	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.447	0.000	0.000	0.572	0.587	0.584	0.647	0.536	0.557	0.635	0.589
4.000	PRO_3	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.617	0.573	0.599	0.693	0.570	0.647	0.671	0.626
4.000	PRO_5	0.000	0.000	0.000	0.447	0.000	0.447	0.447	0.447	0.447	0.000	0.447	0.447	0.000	0.000	0.447	0.000	0.671	0.650	0.653	0.726	0.670	0.745	0.711	0.679
4.000	PRO_6	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.000	0.609	0.586	0.594	0.692	0.605	0.595	0.696	0.589
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.447	0.000	0.702	0.593	0.588	0.649	0.671	0.630	0.702	0.632
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.660	0.546	0.584	0.550	0.622	0.556	0.569	0.626
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.000	0.447	0.000	0.447	0.000	0.000	0.447	0.447	0.741	0.630	0.627	0.659	0.701	0.664	0.702	0.679
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.447	0.447	0.447	0.447	0.447	0.447	0.000	0.447	0.796	0.703	0.730	0.724	0.757	0.697	0.746	0.766
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.000	0.447	0.447	0.447	0.740	0.657	0.674	0.654	0.686	0.646	0.649	0.726
1.000	PRO_4	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.447	0.000	0.447	0.447	0.447	0.000	0.000	0.447	0.730	0.619	0.643	0.619	0.731	0.613	0.642	0.667
1.000	PRO_4	0.447	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.447	0.000	0.722	0.612	0.589	0.644	0.744	0.648	0.682	0.614
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.447	0.000	0.447	0.447	0.000	0.447	0.000	0.447	0.773	0.649	0.688	0.684	0.716	0.682	0.722	0.752
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.447	0.447	0.729	0.591	0.627	0.636	0.685	0.680	0.664	0.684
1.000	PRO_0	0.447	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.447	0.000	0.447	0.447	0.447	0.447	0.447	0.447	0.792	0.674	0.697	0.725	0.770	0.697	0.752	0.737
2.000	PRO_1	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.000	0.447	0.447	0.447	0.000	0.586	0.715	0.643	0.648	0.619	0.645	0.635	0.619
2.000	PRO_1	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.447	0.447	0.447	0.447	0.447	0.447	0.000	0.000	0.650	0.747	0.698	0.683	0.669	0.664	0.670	0.684
2.000	PRO_1	0.000	0.447	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.635	0.698	0.644	0.603	0.637	0.611	0.613	0.688
2.000	PRO_5	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.613	0.685	0.616	0.599	0.682	0.696	0.614	0.607
2.000	PRO_6	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.000	0.591	0.624	0.567	0.618	0.570	0.576	0.655	0.589
2.000	PRO_1	0.000	0.447	0.000	0.000	0.000	0.447	0.000	0.447	0.447	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.586	0.715	0.650	0.613	0.585	0.647	0.599	0.667
2.000	PRO_1	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.552	0.662	0.596	0.571	0.551	0.557	0.562	0.607
2.000	PRO_1	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.000	0.000	0.000	0.000	0.000	0.543	0.669	0.580	0.560	0.569	0.576	0.538	0.589
2.000	PRO_1	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.447	0.447	0.000	0.000	0.447	0.447	0.630	0.635	0.599	0.614	0.621	0.630	0.628	0.620
2.000	PRO_1	0.000	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.539	0.611	0.556	0.539	0.585	0.592	0.546	0.539
3.000	PRO_2	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.447	0.000	0.000	0.447	0.622	0.625	0.702	0.635	0.638	0.630	0.637	0.655
3.000	PRO_2	0.000	0.000	0.447	0.000	0.447	0.447	0.000	0.447	0.447	0.447	0.000	0.000	0.447	0.447	0.000	0.000	0.649	0.694	0.731	0.638	0.668	0.679	0.628	0.705
3.000	PRO_2	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.447	0.447	0.000	0.447	0.447	0.617	0.631	0.677	0.640	0.653	0.647	0.651	0.631
3.000	PRO_2	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.447	0.595	0.613	0.702	0.620	0.552	0.610	0.608	0.689
3.000	PRO_2	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.447	0.447	0.447	0.447	0.000	0.000	0.447	0.000	0.447	0.654	0.687	0.757	0.660	0.604	0.680	0.630	0.756
3.000	PRO_2	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.447	0.447	0.447	0.447	0.000	0.000	0.609	0.593	0.677	0.629	0.605	0.610	0.635	0.626
3.000	PRO_5	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.604	0.587	0.673	0.614	0.569	0.678	0.607	0.656
3.000	PRO_2	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.447	0.000	0.447	0.447	0.000	0.000	0.591	0.652	0.717	0.644	0.586	0.628	0.615	0.661
3.000	PRO_7	0.000	0.000	0.447	0.000	0.447	0.447	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.447	0.687	0.605	0.707	0.645	0.621	0.662	0.663	0.727
3.000	PRO_2	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.447	0.447	0.447	0.000	0.000	0.000	0.447	0.000	0.447	0.623	0.676	0.727	0.634	0.586	0.646	0.615	0.726
4.000	PRO_3	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.447	0.447	0.000	0.000	0.447	0.447	0.000	0.447	0.654	0.645	0.649	0.710	0.622	0.595	0.677	0.673
4.000	PRO_3	0.000	0.000	0.000	0.447	0.000	0.447	0.447	0.447	0.000	0.000	0.447	0.447	0.000	0.447	0.447	0.447	0.699	0.673	0.707	0.767	0.653	0.744	0.765	0.737
4.000	PRO_6	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.447	0.645	0.650	0.663	0.733	0.638	0.631	0.735	0.667
4.000	PRO_3	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.000	0.447	0.447	0.447	0.447	0.447	0.000	0.666	0.662	0.677	0.763	0.670	0.714	0.753	0.667
4.000	PRO_3	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.447	0.000	0.586	0.614	0.606	0.672	0.587	0.611	0.636	0.589
4.000	PRO_3	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.447	0.447	0.000	0.000	0.000	0.447	0.447	0.644	0.638	0.648	0.716	0.604	0.666	0.679	0.673
4.000	PRO_3	0.000	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.000	0.447	0.000	0.447	0.000	0.447	0.000	0.000	0.572	0.587	0.584	0.647	0.536	0.557	0.635	0.589
4.000	PRO_3	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.447	0.000	0.617	0.573	0.599	0.693	0.570	0.647	0.671	0.626
4.000	PRO_5	0.000	0.000	0.000	0.447	0.000	0.447	0.447	0.447	0.447	0.000	0.447	0.447	0.000	0.000	0.447	0.000	0.671	0.650	0.653	0.726	0.670	0.745	0.711	0.679
4.000	PRO_6	0.000	0.000	0.000	0.447	0.000	0.000	0.447	0.000	0.000	0.000	0.000	0.447	0.447	0.447	0.000	0.000	0.609	0.586	0.594	0.692	0.605	0.595	0.696	0.589
